Year,S.No,STATE,DISTRICT,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,EGWE
2024-25,57,BIHAR,GAYA,20075.99,101528.76,0,121604.75,5243.6484,10346.69077,,15590.33917,1991.90802,57.79065,,2049.69867,4459.752,45504.00202,,49963.75402,67603.79186
2024-25,58,BIHAR,GOPALGANJ,57994.43,37688.22,0,95682.65,8663.306025,0,,8663.306025,523.31406,0,,523.31406,17856.2803,27747.5112,,45603.7915,54790.41159
2024-25,59,BIHAR,JAMUI,6502.59,38509.77,0,45012.36,6483.48624,0,,6483.48624,8.92755,6.12,,15.04755,550.1982,11722.53362,,12272.73182,18771.26561
2024-25,60,BIHAR,JEHANABAD,10856.82,20290.79,0,31147.61,2851.67565,802.195905,,3653.871555,5.237496,0,,5.237496,3581.613098,18307.05448,,21888.66758,25547.77663
2024-25,61,BIHAR,KAIMUR,30968.74,43684.88,0,74653.62,5061.866355,775.322415,,5837.18877,58.62501,3.7026,,62.32761,6901.2269,19901.29708,,26802.52398,32702.04036
2024-25,62,BIHAR,KATIHAR,23220.27,86201.97,0,109422.24,1599.45555,8977.781411,,10577.23696,67.518594,92.6568,,160.175394,3054.015352,33039.85225,,36093.8676,46831.27996
2024-25,63,BIHAR,KHAGARIA,534.32,43623.9,0,44158.22,,6064.374844,,6064.374844,,18.14376,,18.14376,,21693.26764,,21693.26764,27775.78624
2024-25,64,BIHAR,KISHANGANJ,545.09,62119.71,0,62664.8,,6113.958342,,6113.958342,,304.47,,304.47,,15636.7711,,15636.7711,22055.19944
2024-25,65,BIHAR,LAKHISARAI,16380.7,22382.57,0,38763.27,3390.41711,106.663585,,3497.080695,88.02396,0,,88.02396,2082.2668,6794.4972,,8876.764,12461.86866
2024-25,66,BIHAR,MADHEPURA,78757.73,19280.71,0,98038.44,7573.09373,0,,7573.09373,148.6752,0,,148.6752,18070.527,11059.858,,29130.385,36852.15393
2024-25,67,BIHAR,MADHUBANI,49670.33,81066.47,0,130736.8,7999.217725,7959.077215,,15958.29494,7956.612,932.688,,8889.3,5123.546048,30193.08342,,35316.62947,60164.22441
2024-25,68,BIHAR,MUNGER,14198.44,23635.13,0,37833.57,3114.82386,1419.06598,,4533.88984,14.56254,749.7,,764.26254,2873.2285,5820.447,,8693.6755,13991.82788
2024-25,69,BIHAR,MUZAFFARPUR,33949.83,77212.62,0,111162.45,8456.27477,7977.93275,,16434.20752,1377.3366,40.137,,1417.4736,6951.99744,47667.36173,,54619.35917,72471.04029
2024-25,70,BIHAR,NALANDA,8024.03,54252.33,0,62276.36,682.48138,8764.045952,,9446.527332,870.57,1170.235392,,2040.805392,1939.66244,33699.50491,,35639.16735,47126.50007
2024-25,71,BIHAR,NAWADA,11186.84,54774.58,0,65961.42,4571.282922,1515.542415,,6086.825337,84.3489,0.918,,85.2669,2285.63872,24388.75408,,26674.3928,32846.48504
2024-25,72,BIHAR,PATNA,19243.72,78786.09,0,98029.81,4496.453615,12565.38422,,17061.83784,1462.63716,0,,1462.63716,3120.781788,38102.6118,,41223.39359,59747.86859
2024-25,73,BIHAR,PURNEA,91574.46,62347.77,0,153922.23,8773.87073,2537.740975,,11311.61171,1049.274,2.652,,1051.926,15246.72924,30484.64313,,45731.37237,58094.91008
2024-25,74,BIHAR,ROHTAS,47788.13,66883.11,0,114671.24,7274.714917,2360.82292,,9635.537837,252.2205,0,,252.2205,7713.34804,17060.8415,,24774.18954,34661.94788
2024-25,75,BIHAR,SAHARSA,21097.79,42250.8,0,63348.59,5612.488784,746.37171,,6358.860494,67.31694,0,,67.31694,2252.412,14894.63,,17147.042,23573.21943
2024-25,76,BIHAR,SAMASTIPUR,3264.93,76693.07,0,79958,0,14809.3021,,14809.3021,23.46,246.126,,269.586,389.4,39180.44846,,39569.84846,54648.73656
2024-25,77,BIHAR,SARAN,58989.18,41806.42,0,100795.6,11638.90377,1497.558865,,13136.46264,177.38004,0,,177.38004,11994.2566,17160.4245,,29154.6811,42468.52378
2024-25,78,BIHAR,SHEIKHPURA,2370.32,14602.83,0,16973.15,593.626145,1517.986017,,2111.612162,2.448,0,,2.448,349.008,7521.624,,7870.632,9984.692162
2024-25,79,BIHAR,SHEOHAR,6434.49,10008.88,0,16443.37,2383.62885,0,,2383.62885,184.62204,0,,184.62204,1793.88,4702.896,,6496.776,9065.02689
2024-25,80,BIHAR,SITAMARHI,1792.42,64074.41,0,65866.83,,12133.47286,,12133.47286,,89.76,,89.76,,18463.19112,,18463.19112,30686.42398
