Year,S.No,STATE,DISTRICT,RR_Tot
2024-25,256,KARNATAKA,Bengaluru South,886.3150253
2024-25,257,KARNATAKA,Bidar,850.2268161
2024-25,258,KARNATAKA,Chamarajanagara,1105.271028
2024-25,259,KARNATAKA,Chikkaballapura,919.2245447
2024-25,260,KARNATAKA,Chikkamagaluru,1244.697423
2024-25,261,KARNATAKA,Chitradurga,569.3475195
2024-25,262,KARNATAKA,Dakshina Kannada,4031.798258
2024-25,263,KARNATAKA,Davanagere,732.5659672
2024-25,264,KARNATAKA,Dharwad,770.6776164
2024-25,265,KARNATAKA,Gadag,710.9034352
2024-25,266,KARNATAKA,Hassan,933.4236798
2024-25,267,KARNATAKA,Haveri,823.7200912
2024-25,268,KARNATAKA,Kalburgi,837.5752589
2024-25,269,KARNATAKA,Kodagu,2215.343047
2024-25,270,KARNATAKA,Kolara,822.021437
2024-25,271,KARNATAKA,Koppal,627.3684135
2024-25,272,KARNATAKA,Mandya,733.2386906
2024-25,273,KARNATAKA,Mysuru,811.4970007
2024-25,274,KARNATAKA,Raichur,580.4605081
2024-25,275,KARNATAKA,Shivamogga,1916.373898
2024-25,276,KARNATAKA,Tumakuru,745.3500172
2024-25,277,KARNATAKA,Udupi,4419.644794
2024-25,278,KARNATAKA,Uttara Kannada,2600.682383
2024-25,279,KARNATAKA,Vijayanagara,649.7528268
2024-25,280,KARNATAKA,Vijayapura,612.6782934
2024-25,281,KARNATAKA,Yadgir,837.3738943
2024-25,282,KERALA,ALAPPUZHA,2688.5
2024-25,283,KERALA,ERNAKULAM,3146.2
2024-25,284,KERALA,IDUKKI,2921.576551
2024-25,285,KERALA,KANNUR,3277
2024-25,286,KERALA,KASARGOD,3453
2024-25,287,KERALA,KOLLAM,2361
2024-25,288,KERALA,KOTTAYAM,2925.577159
2024-25,289,KERALA,KOZHIKKODE,3364.4
2024-25,290,KERALA,MALAPPURAM,2726.2
2024-25,291,KERALA,PALAKKAD,2182.7
2024-25,292,KERALA,PATHANAMTHITTA,2776.4
2024-25,293,KERALA,THIRUVANANTHAPURAM,1818.94
2024-25,294,KERALA,THRISSUR,2965.9
2024-25,295,KERALA,WAYANAD,3060.4
2024-25,296,LADAKH,KARGIL,89.3
2024-25,297,LADAKH,LEH,62.4
2024-25,298,LAKSHDWEEP,AMINI,1805.54
2024-25,299,LAKSHDWEEP,ANDROTH,1805.54
2024-25,300,LAKSHDWEEP,KAVARATTI,1805.54
2024-25,301,LAKSHDWEEP,KILTAN,1805.54
2024-25,302,LAKSHDWEEP,MINICOY,1968
2024-25,303,MAHARASHTRA,Ahmednagar,
2024-25,304,MAHARASHTRA,Akola,782.0432955
2024-25,305,MAHARASHTRA,Amravati,
2024-25,306,MAHARASHTRA,Aurangabad,
2024-25,307,MAHARASHTRA,Beed,695.7767745
2024-25,308,MAHARASHTRA,Bhandara,1449.946222
2024-25,309,MAHARASHTRA,Buldhana,
2024-25,310,MAHARASHTRA,Chandrapur,
2024-25,311,MAHARASHTRA,Dhule,643.3594095
2024-25,312,MAHARASHTRA,Gadchiroli,1375.974717
2024-25,313,MAHARASHTRA,Gondia,1495.166803
2024-25,314,MAHARASHTRA,Hingoli,966.5113652
2024-25,315,MAHARASHTRA,Jalgaon,687.2485994
2024-25,316,MAHARASHTRA,Jalna,860.2486953
2024-25,317,MAHARASHTRA,Kolhapur,1674.096066
2024-25,318,MAHARASHTRA,Latur,725.7379032
2024-25,319,MAHARASHTRA,Mumbai,2205
2024-25,320,MAHARASHTRA,Mumbai Sub,2141.851063
2024-25,321,MAHARASHTRA,Nagpur,1164.944188
2024-25,322,MAHARASHTRA,Nanded,1023.687735
2024-25,323,MAHARASHTRA,Nandurbar,927.3780407
2024-25,324,MAHARASHTRA,Nashik,981.9201248
2024-25,325,MAHARASHTRA,Osmanabad,
2024-25,326,MAHARASHTRA,Palghar,2503.646578
2024-25,327,MAHARASHTRA,Parbhani,872.0134062
2024-25,328,MAHARASHTRA,Pune,682.7860237
2024-25,329,MAHARASHTRA,Raigad,2961.77658
2024-25,330,MAHARASHTRA,Ratnagiri,3473.188527
2024-25,331,MAHARASHTRA,Sangli,653.9239503
2024-25,332,MAHARASHTRA,Satara,1199.697793
2024-25,333,MAHARASHTRA,Sindhudurg,3464.800734
2024-25,334,MAHARASHTRA,Solapur,663.5489594
2024-25,335,MAHARASHTRA,Thane,2526.544593
2024-25,336,MAHARASHTRA,Wardha,957.3157277
2024-25,337,MAHARASHTRA,Washim,911.1626367
2024-25,338,MAHARASHTRA,Yawatmal,1008.840298
2024-25,339,MANIPUR,BISHNUPUR,1987.59
2024-25,340,MANIPUR,CHANDEL,0
2024-25,341,MANIPUR,CHURACHANPUR,2133.46
2024-25,342,MANIPUR,IMPHAL EAST,1717.14
2024-25,343,MANIPUR,IMPHAL WEST,1709.92
2024-25,344,MANIPUR,SENAPATI,0
2024-25,345,MANIPUR,TAMENGLONG,0
2024-25,346,MANIPUR,THOUBAL,1276.78
2024-25,347,MANIPUR,UKHRUL,0
2024-25,348,MEGHALAYA,EAST GARO HILLS,2975
2024-25,349,MEGHALAYA,EAST JAINTIA HILLS,2320
2024-25,350,MEGHALAYA,EAST KHASI HILLS,4032
2024-25,351,MEGHALAYA,NORTH GARO HILLS,2803
2024-25,352,MEGHALAYA,RI BHOI,2030
2024-25,353,MEGHALAYA,SOUTH GARO HILLS,4210
2024-25,354,MEGHALAYA,SOUTH WEST GARO HILLS,1634
2024-25,355,MEGHALAYA,SOUTH WEST KHASI HILLS,3918
2024-25,356,MEGHALAYA,WEST GARO HILLS,2678
2024-25,357,MEGHALAYA,WEST JAINTIA HILLS,2320
2024-25,358,MEGHALAYA,WEST KHASI HILLS,4062
2024-25,359,MIZORAM,AIZAWL,2204.458084
2024-25,360,MIZORAM,CHAMPHAI,1728
2024-25,361,MIZORAM,KOLASIB,2205
2024-25,362,MIZORAM,LAWNGTLAI,2022
2024-25,363,MIZORAM,LUNGLEI,2092
2024-25,364,MIZORAM,MAMIT,2242
2024-25,365,MIZORAM,SAIHA,2262
2024-25,366,MIZORAM,SERCHHIP,1747
2024-25,367,NAGALAND,Dimapur,1744.96
2024-25,368,NAGALAND,Kiphire,1074.1
2024-25,369,NAGALAND,Kohima,1779.3
2024-25,370,NAGALAND,Longleng,1879.5
2024-25,371,NAGALAND,Mokokchung,2080.4
2024-25,372,NAGALAND,Mon,1469.1
2024-25,373,NAGALAND,Peren,1394.2
2024-25,374,NAGALAND,Phek,1295.1
2024-25,375,NAGALAND,Tuensang,2079.5
2024-25,376,NAGALAND,Wokha,2166.76
2024-25,377,NAGALAND,Zunheboto,2080.4
2024-25,378,PUDUCHERRY,KARAIKAL,779.9402484
2024-25,379,PUDUCHERRY,PUDUCHERRY,1481.121118
2024-25,380,PUNJAB,Amritsar,646.2683642
2024-25,381,PUNJAB,Barnala,517.9651227
2024-25,382,PUNJAB,Bathinda,377.9346608
2024-25,383,PUNJAB,Faridkot,398.9716527
2024-25,384,PUNJAB,Fatehgarh Sahib,685.099137
2024-25,385,PUNJAB,Fazilka,369.0737679
2024-25,386,PUNJAB,Firozpur,428.6978127
2024-25,387,PUNJAB,Gurdaspur,819.7245864
2024-25,388,PUNJAB,Hoshiarpur,840.1326828
2024-25,389,PUNJAB,Jalandhar,625.0923083
2024-25,390,PUNJAB,Kapurthala,620.4522855
2024-25,391,PUNJAB,Ludhiana,581.0825405
2024-25,392,PUNJAB,Malerkotla,570.2195924
2024-25,393,PUNJAB,Mansa,404.5459463
2024-25,394,PUNJAB,Moga,454.2517481
2024-25,395,PUNJAB,Muktsar,394.3653788
2024-25,396,PUNJAB,Pathankot,1156.972407
2024-25,397,PUNJAB,Patiala,657.551816
2024-25,398,PUNJAB,Rupnagar,839.7394536
2024-25,399,PUNJAB,SAS Nagar,743.4811388
2024-25,400,PUNJAB,SBS Nagar,761.2923762
