Year,S.No,STATE,DISTRICT,RR_Tot
2024-25,492,TELANGANA,Mahabubabad,1548.242743
2024-25,493,TELANGANA,Mahabubnagar,649.2625075
2024-25,494,TELANGANA,Mancherial,1045.600764
2024-25,495,TELANGANA,Medak,840.9390293
2024-25,496,TELANGANA,Medchal Malkajgiri,767.7000626
2024-25,497,TELANGANA,Mulug,1375.012753
2024-25,498,TELANGANA,Nagarkurnool,663.0348434
2024-25,499,TELANGANA,Nalgonda,697.3402602
2024-25,500,TELANGANA,Narayanpet,610.3486814
2024-25,501,TELANGANA,Nirmal,1054.7127
2024-25,502,TELANGANA,Nizamabad,978.8923357
2024-25,503,TELANGANA,Peddapalle,1013.56021
2024-25,504,TELANGANA,Rajanna Siricilla,887.7439302
2024-25,505,TELANGANA,Rangareddy,713.0175808
2024-25,506,TELANGANA,Sangareddy,862.5172449
2024-25,507,TELANGANA,Siddipet,772.6139151
2024-25,508,TELANGANA,Suryapet,779.7376295
2024-25,509,TELANGANA,Vikarabad,744.42333
2024-25,510,TELANGANA,Wanaparthy,631.9502014
2024-25,511,TELANGANA,Warangal,1013.523206
2024-25,512,TELANGANA,Yadadri Bhuvanagiri,744.4710561
2024-25,513,TRIPURA,DHALAI,2424.326659
2024-25,514,TRIPURA,GOMATI,2174.788366
2024-25,515,TRIPURA,KHOWAI,2223.919186
2024-25,516,TRIPURA,NORTH TRIPURA,2541.071288
2024-25,517,TRIPURA,SEPAHIJALA,2035.588801
2024-25,518,TRIPURA,SOUTH TRIPURA,2449.440455
2024-25,519,TRIPURA,UNAKOTI,2391.53412
2024-25,520,TRIPURA,WEST TRIPURA,2046.30423
2024-25,521,UTTARAKHAND,DEHRADUN,2183.6
2024-25,522,UTTARAKHAND,HARIDWAR,1020
2024-25,523,UTTARAKHAND,NAINITAL,1711
2024-25,524,UTTARAKHAND,UDHAMSINGH NAGAR,1465.3
2024-25,525,WEST BENGAL,ALIPURDUAR,3468.3
2024-25,526,WEST BENGAL,BANKURA,1330.9
2024-25,527,WEST BENGAL,BIRBHUM,1392.8
2024-25,528,WEST BENGAL,DAKSHIN DINAJPUR,1584.9
2024-25,529,WEST BENGAL,DARJILING,3118.5
2024-25,530,WEST BENGAL,HAORA,1600
2024-25,531,WEST BENGAL,HUGLI,1476.1
2024-25,532,WEST BENGAL,JALPAIGURI,3468.3
2024-25,533,WEST BENGAL,JHARGRAM,1535.5
2024-25,534,WEST BENGAL,KALIMPONG,3118.5
2024-25,535,WEST BENGAL,KOCH BIHAR,3284.1
2024-25,536,WEST BENGAL,KOLKATTA,1623.6
2024-25,537,WEST BENGAL,MALDA,1449.7
2024-25,538,WEST BENGAL,MURSHIDABAD,1433.2
2024-25,539,WEST BENGAL,NADIA,1443.8
2024-25,540,WEST BENGAL,NORTH 24 PARGANAS,1623.6
2024-25,541,WEST BENGAL,PASCHIM BARDDHAMAN,1348.2
2024-25,542,WEST BENGAL,PASCHIM MEDINIPUR,1535.5
2024-25,543,WEST BENGAL,PURBA BARDDHAMAN,1348.2
2024-25,544,WEST BENGAL,PURBA MEDINIPUR,1669.6
2024-25,545,WEST BENGAL,PURULIYA,1363.3
2024-25,546,WEST BENGAL,SOUTH 24 PARGANAS,1623.6
2024-25,547,WEST BENGAL,UTTAR DINAJPUR,1922.3
2024-25,,,,1070.74392
