Year,S.No,STATE,DISTRICT,AGR_Tot
2024-25,433,RAJASTHAN,SIROHI,31013.49
2024-25,434,RAJASTHAN,TONK,49724.95
2024-25,435,RAJASTHAN,UDAIPUR,33242.71
2024-25,436,SIKKIM,Gangtok,6816.66
2024-25,437,SIKKIM,Gyalsingh,3791.57
2024-25,438,SIKKIM,Mangan,3716.59
2024-25,439,SIKKIM,Namchi,3545.96
2024-25,440,SIKKIM,Pakyong,5022.81
2024-25,441,SIKKIM,Soreng,1270.97
2024-25,442,TAMILNADU,ARIYALUR,41042.19
2024-25,443,TAMILNADU,CHENGALPATTU,69178.49
2024-25,444,TAMILNADU,CHENNAI,9796.45
2024-25,445,TAMILNADU,COIMBATORE,62234.24
2024-25,446,TAMILNADU,CUDDALORE,118769.82
2024-25,447,TAMILNADU,DHARMAPURI,52751.53
2024-25,448,TAMILNADU,DINDIGUL,59520.62
2024-25,449,TAMILNADU,ERODE,94882.3
2024-25,450,TAMILNADU,KALLAKURICHCHI,64517.76
2024-25,451,TAMILNADU,KANCHEEPURAM,59167.6
2024-25,452,TAMILNADU,KANNIYAKUMARI,37646.29
2024-25,453,TAMILNADU,KARUR,32582.58
2024-25,454,TAMILNADU,KRISHNAGIRI,56763.1
2024-25,455,TAMILNADU,MADURAI,75965.72
2024-25,456,TAMILNADU,MAYILADUTHURAI,20970.32
2024-25,457,TAMILNADU,NAGAPATTINAM,82009.93
2024-25,458,TAMILNADU,NAMAKKAL,58269.29
2024-25,459,TAMILNADU,PERAMBALUR,28883.8
2024-25,460,TAMILNADU,PUDUKKOTTAI,116141.78
2024-25,461,TAMILNADU,RAMANATHAPURAM,82421.5
2024-25,462,TAMILNADU,RANIPET,32956.13
2024-25,463,TAMILNADU,SALEM,52746.78
2024-25,464,TAMILNADU,SIVAGANGAI,78005.55
2024-25,465,TAMILNADU,TENKASI,59542.48
2024-25,466,TAMILNADU,THANJAVUR,129748.85
2024-25,467,TAMILNADU,THE NILGIRIS,7962.18
2024-25,468,TAMILNADU,THENI,29973.89
2024-25,469,TAMILNADU,THIRUVARUR,135243.84
2024-25,470,TAMILNADU,THOOTHUKUDI,85944.71
2024-25,471,TAMILNADU,TIRUCHIRAPPALLI,70652.49
2024-25,472,TAMILNADU,TIRUNELVELI,89476.43
2024-25,473,TAMILNADU,TIRUPATHUR,10778.77
2024-25,474,TAMILNADU,TIRUPPUR,76082.19
2024-25,475,TAMILNADU,TIRUVALLUR,83435.22
2024-25,476,TAMILNADU,TIRUVANNAMALAI,137985.48
2024-25,477,TAMILNADU,VELLORE,20193.72
2024-25,478,TAMILNADU,VILLUPURAM,106950.84
2024-25,479,TAMILNADU,VIRUDHUNAGAR,75748.26
2024-25,480,TELANGANA,Adilabad,56345.48
2024-25,481,TELANGANA,Bhadradri Kothagudem,111787.5277
2024-25,482,TELANGANA,Hanumakonda,53386.81
2024-25,483,TELANGANA,Hyderabad,6782.51
2024-25,484,TELANGANA,Jagtial,77545.95
2024-25,485,TELANGANA,Jangaon,31320.19028
2024-25,486,TELANGANA,Jayashankar Bhupalapally,52161.9463
2024-25,487,TELANGANA,Jogulamba Gadwal,48968.77
2024-25,488,TELANGANA,Kamareddy,72035.94
2024-25,489,TELANGANA,Karimnagar,93807.3443
2024-25,490,TELANGANA,Khammam,118206.67
2024-25,491,TELANGANA,Komarambheem Asifabad,62574.9724
2024-25,492,TELANGANA,Mahabubabad,71141.15
2024-25,493,TELANGANA,Mahabubnagar,36356.76
2024-25,494,TELANGANA,Mancherial,97040.60906
2024-25,495,TELANGANA,Medak,54800.75
