Year,S.No,STATE,DISTRICT,AER_Tot
2024-25,160,GUJARAT,PATAN,103803.44
2024-25,161,GUJARAT,PORBANDAR,35640.86
2024-25,162,GUJARAT,RAJKOT,169025.48
2024-25,163,GUJARAT,RANA AND KUTCH,0
2024-25,164,GUJARAT,SABARKANTHA,76631.54
2024-25,165,GUJARAT,SURAT,143734.67
2024-25,166,GUJARAT,SURENDRANAGAR,217434.33
2024-25,167,GUJARAT,TAPI,71235.27
2024-25,168,GUJARAT,VADODARA,120044.88
2024-25,169,GUJARAT,VALSAD,69407.17
2024-25,170,HARYANA,AMBALA,38743.1
2024-25,171,HARYANA,BHIWANI,39084.92
2024-25,172,HARYANA,CHARKHI DADRI,17419.14
2024-25,173,HARYANA,FARIDABAD,13642.38
2024-25,174,HARYANA,FATEHABAD,59223.82
2024-25,175,HARYANA,GURGAON,22591.43
2024-25,176,HARYANA,HISAR,66085.71
2024-25,177,HARYANA,JHAJJAR,45688.38
2024-25,178,HARYANA,JIND,68244.35
2024-25,179,HARYANA,KAITHAL,41841.37
2024-25,180,HARYANA,KARNAL,105936.46
2024-25,181,HARYANA,KURUKSHETRA,37850.67
2024-25,182,HARYANA,MAHENDRAGARH,19806.38
2024-25,183,HARYANA,MEWAT,17417.06
2024-25,184,HARYANA,PALWAL,40387.35
2024-25,185,HARYANA,PANCHKULA,13446
2024-25,186,HARYANA,PANIPAT,47360.25
2024-25,187,HARYANA,REWARI,26482.73
2024-25,188,HARYANA,ROHTAK,32903.05
2024-25,189,HARYANA,SIRSA,60874.51
2024-25,190,HARYANA,SONIPAT,62183.27
2024-25,191,HARYANA,YAMUNA NAGAR,52900.48
2024-25,192,HIMACHAL PRADESH,BALH VALLEY,2450.43
2024-25,193,HIMACHAL PRADESH,CHAUNTRA VALLEY,4703.14
2024-25,194,HIMACHAL PRADESH,DHARAMSHALA PALAMPUR VALLEY,12324.36
2024-25,195,HIMACHAL PRADESH,HUM VALLEY,669.18
2024-25,196,HIMACHAL PRADESH,KALA AMB VALLEY,1831.89
2024-25,197,HIMACHAL PRADESH,NALAGARH VALLEY,14519.16
2024-25,198,HIMACHAL PRADESH,NURPUR & INDAURA vALLEY,37709.33
2024-25,199,HIMACHAL PRADESH,POANTA VALLEY,7792.68
2024-25,200,HIMACHAL PRADESH,UNA VALLEY BEAS CATCHMENT,958.97
2024-25,201,HIMACHAL PRADESH,UNA VALLEY SUTLEJ CATCHMENT,17783.89
2024-25,202,JAMMU AND KASHMIR,Anantnag,9985.78
2024-25,203,JAMMU AND KASHMIR,Bandipora,4272.11
2024-25,204,JAMMU AND KASHMIR,Baramulla,9834.88
2024-25,205,JAMMU AND KASHMIR,Barmulla,0
2024-25,206,JAMMU AND KASHMIR,Budgam,4742.16
2024-25,207,JAMMU AND KASHMIR,Doda,935.94
2024-25,208,JAMMU AND KASHMIR,Ganderbal,970.82
2024-25,209,JAMMU AND KASHMIR,Jammu,41150.83
2024-25,210,JAMMU AND KASHMIR,Kathua,30704.77
2024-25,211,JAMMU AND KASHMIR,Kishtwar,1188.86
2024-25,212,JAMMU AND KASHMIR,Kulgam,6112.2
2024-25,213,JAMMU AND KASHMIR,Kupwara,0
2024-25,214,JAMMU AND KASHMIR,Kupwarar,5586.49
2024-25,215,JAMMU AND KASHMIR,Mirpur,0
2024-25,216,JAMMU AND KASHMIR,Muzaffarabad,0
2024-25,217,JAMMU AND KASHMIR,Poonch,4622.86
2024-25,218,JAMMU AND KASHMIR,Pulwama,5210.82
2024-25,219,JAMMU AND KASHMIR,Rajouri,16012.55
2024-25,220,JAMMU AND KASHMIR,Ramban,665.88
2024-25,221,JAMMU AND KASHMIR,Reasi,21852.28
2024-25,222,JAMMU AND KASHMIR,Samba,15582.24
2024-25,223,JAMMU AND KASHMIR,Shopian,4748.18
2024-25,224,JAMMU AND KASHMIR,Srinagar,12288.16
2024-25,225,JAMMU AND KASHMIR,Srinagar Hilly Area,0
2024-25,226,JAMMU AND KASHMIR,Udhampur,10986.36
2024-25,227,JHARKHAND,BOKARO,18726.86
2024-25,228,JHARKHAND,CHATRA,23461.97
2024-25,229,JHARKHAND,DEOGHAR,15910.72
2024-25,230,JHARKHAND,DHANBAD,26371.51
2024-25,231,JHARKHAND,DUMKA,26912.47
2024-25,232,JHARKHAND,EAST SINGHBHUM,25778.08
2024-25,233,JHARKHAND,GARHWA,24720.72
2024-25,234,JHARKHAND,GIRIDIH,34525.55
2024-25,235,JHARKHAND,GODDA,20574.76
2024-25,236,JHARKHAND,GUMLA,32026.22
2024-25,237,JHARKHAND,HAZARIBAGH,32345.86
2024-25,238,JHARKHAND,JAMTARA,9240.81
2024-25,239,JHARKHAND,KHUNTI,13119.37
2024-25,240,JHARKHAND,KODERMA,6595.24
2024-25,241,JHARKHAND,LATEHAR,22167.2
2024-25,242,JHARKHAND,LOHARDAGA,15876.41
2024-25,243,JHARKHAND,PAKUR,24399.26
